Yes,Yes
No,No
"Smile Elasticsuite Retailer Search","Smile Elasticsuite Retailer Search"
"Retailer search settings","Configuration de la recherche des magasins"
"Setting","Configuration"
"Max result","Nombre de résultats maximum"
"Maximum number of results to display in result block.","Nombre maximum de résultats à afficher dans le bloc de résultats de recherche."
"Elasticsuite Retailer Indexing","Indexer elasticsuite des magasins"
"Reindex Elasticsuite retailers.","Réindexation elasticsuite des magasins"
"Retailer","Magasins"
"Show more","Voir plus"
"Maximum number of retailers to display in autocomplete results.","Nombre maximum de magasins à afficher dans le bloc d'autocomplétion."
"Enabled suggest bloc on result page","Afficher le bloc des suggestions sur la page de résultat des produits"
"Results in retailers","Résultat pour les magasins"
"Fields indexed", "Champs indexés"
"Index street","Indexer la ville"
"Index postcode","Indexer le code postal"
"Index latitude","Indexer la latitude"
"Index longitude","Indexer la longitude"
"Index description","Indexer la description"
